1,1,4,Hiking to the top of Sigiriya,null
2,2,14,Visiting the sacred Temple of the Tooth,null
3,3,3,Wildlife safari in Yala National Park,null
4,4,5,Cultural tour of Galle Fort,null
5,5,10,Relaxing at the scenic Ella,null
6,6,4,Hiking at Horton Plains,null
7,7,11,Pilgrimage to Adams Peak,null
8,8,3,Elephant safari at Pinnawala,null
9,9,1,Surfing at Mirissa,null
10,10,5,Cultural tour of Polonnaruwa,null
11,11,5,Cultural tour of Anuradhapura,null
12,12,7,Snorkeling at Bentota,null
13,13,14,Temple visit at Dambulla Cave Temple,null
14,14,3,Wildlife safari at Udawalawe,null
15,15,1,Surfing at Arugam Bay,null
16,16,9,Tea plantation tour in Nuwara Eliya,null
17,17,7,Snorkeling at Trincomalee,null
18,18,5,Cultural tour of Jaffna,null
19,19,3,Wildlife safari at Wilpattu,null
20,20,12,Shopping in Colombo,null
21,21,4,Hiking and nature walks in Sinharaja,null
22,22,10,Boating and relaxing at Kandy Lake,null
23,23,4,Hiking to Ramboda Falls,null
24,24,14,Temple visit at Kelaniya Raja Maha Vihara,null
25,25,11,Pilgrimage to Mahiyanganaya Temple,null
26,26,7,Boat safari on Madu River,null
27,27,3,Wildlife safari in Gal Oya National Park,null
28,28,6,Bird watching in Bundala National Park,null
29,29,7,Snorkeling at Pigeon Island,null
30,30,15,White-water rafting in Kitulgala,null
31,31,3,Wildlife safari in Minneriya National Park,null
32,32,4,Hiking in Knuckles Mountain Range,null
33,33,11,Pilgrimage to Sri Pada (Adam's Peak),null
34,34,14,Temple visit at Lankatilaka Vihara,null
35,35,19,Photography at Dondra Head Lighthouse,null
36,36,14,Temple visit at Ruwanwelisaya,null
37,37,14,Temple visit at Koneswaram Temple,null
38,38,3,Wildlife safari in Kaudulla National Park,null
39,39,14,Visiting mask makers in Ambalangoda,null
40,40,3,Wildlife safari in Wasgamuwa National Park,null
41,41,7,Snorkeling at Hikkaduwa,null
42,42,14,Temple visit at Mulgirigala Raja Maha Vihara,null
43,43,4,Hiking and exploring Meemure,null
44,44,19,Photography at Kudawella Blow Hole,null
45,45,4,Nature walks in Seethawaka Botanical Garden,null
46,46,4,Trekking in Makandawa Forest Reserve,null
47,47,4,Hiking to Dunhinda Falls,null
48,48,10,Relaxing at Viharamahadevi Park,null
49,49,5,Cultural tour of Richmond Castle,null
50,50,14,Temple visit at Jaya Sri Maha Bodhi,null
51,51,14,Temple visit at Isurumuniya Vihara,null
52,52,4,Exploring Parakrama Samudra,null
53,53,4,Nature walks in Mirijjawila Botanical Garden,null
54,54,10,Relaxing at Thalpe Beach,null
55,55,7,Boat tours on Dutch Canal,null
56,56,4,Exploring Ussangoda,null
57,57,4,Hiking to Diyaluma Falls,null
58,58,15,White-water rafting on Kelani River,null
59,59,10,Relaxing at Thalpe Beach,null
60,60,4,Nature walks on Moon Plains,null
61,61,5,Visiting Mask Museum in Ambalangoda,null
62,62,14,Temple visit at Ridi Vihara,null
63,63,12,Shopping at Independence Square,null
64,64,14,Temple visit at Bellanwila Rajamaha Viharaya,null
65,65,6,Bird watching at Talangama Wetland,null
66,66,10,Relaxing at Bentota Beach,null
67,67,4,Exploring Ravana Falls,null
68,68,5,Cultural tour of Thambapanni,null
69,69,11,Pilgrimage to Kataragama,null
70,70,16,Cycling to Kanniya Hot Springs,null
71,71,10,Relaxing at Nilaveli Beach,null
72,72,7,Boat safari on Kok River,null
73,73,14,Temple visit at Muhudu Maha Viharaya,null
74,74,10,Relaxing at Passikudah Beach,null
75,75,14,Temple visit at Gal Vihara,null
76,76,10,Boating on Lake Gregory,null
77,77,3,Wildlife safari in Maduru Oya National Park,null
78,78,14,Temple visit at Abhayagiriya Stupa,null
79,79,4,Hiking in Ritigala,null
80,80,14,Temple visit at Nallur Kandaswamy Kovil,null
81,81,4,Nature walks in Hakgala Botanical Garden,null
82,82,10,Relaxing at Victoria Park,null
83,83,4,Hiking to Elephant Rock,null
84,84,12,Shopping at Dutch Hospital,null
85,85,7,Bird watching at Koggala Lake,null
86,86,4,Nature walks in Udawatta Kele Sanctuary,null
87,87,11,Pilgrimage to Madhu Church,null
88,88,4,Exploring Brief Garden,null
89,89,6,Bird watching in Kalametiya Bird Sanctuary,null
90,90,10,Relaxing at Mannar Island,null
91,91,4,Hiking to Pidurangala Rock,null
92,92,11,Pilgrimage to Mihintale,null
93,93,6,Bird watching in Bundala National Park,null
94,94,3,Wildlife safari in Yala East National Park,null
95,95,10,Relaxing at Taprobane Island,null
96,96,18,Visiting the Sri Lanka Air Force Museum,null
97,97,19,Photography at Colombo Lighthouse,null
98,98,19,Photography at Hummanaya Blow Hole,null
99,99,5,Cultural tour of Star Fort,null
100,100,4,Hiking to St. Clairs Falls,null
